language,cell,period,head_lemma,cooccurrence_count
Russian,1sg,2014_2021,лечить,1
Russian,1sg,2014_2021,лечь,1
Russian,1sg,2014_2021,лживый,1
Russian,1sg,2014_2021,лисица,1
Russian,1sg,2014_2021,литься,1
Russian,1sg,2014_2021,мерзнуть,1
Russian,1sg,2014_2021,мертвец,1
Russian,1sg,2014_2021,мертвый,1
Russian,1sg,2014_2021,мерять,1
Russian,1sg,2014_2021,минимализм,1
Russian,1sg,2014_2021,младенец,1
Russian,1sg,2014_2021,мужик,1
Russian,1sg,2014_2021,мужчина,1
Russian,1sg,2014_2021,музыка,1
Russian,1sg,2014_2021,навещать,1
Russian,1sg,2014_2021,навидаться,1
Russian,1sg,2014_2021,навязать,1
Russian,1sg,2014_2021,наг,1
Russian,1sg,2014_2021,надеть,1
Russian,1sg,2014_2021,надкусывать,1
Russian,1sg,2014_2021,надо,1
Russian,1sg,2014_2021,назвать,1
Russian,1sg,2014_2021,накрываться,1
Russian,1sg,2014_2021,нанести,1
Russian,1sg,2014_2021,нанизывать,1
Russian,1sg,2014_2021,население,1
Russian,1sg,2014_2021,насильник,1
Russian,1sg,2014_2021,насылать,1
Russian,1sg,2014_2021,находить,1
Russian,1sg,2014_2021,начать,1
Russian,1sg,2014_2021,нашептывать,1
Russian,1sg,2014_2021,небо,1
Russian,1sg,2014_2021,неизменный,1
Russian,1sg,2014_2021,неловкий,1
Russian,1sg,2014_2021,нести,1
Russian,1sg,2014_2021,неточенный,1
Russian,1sg,2014_2021,нечего,1
Russian,1sg,2014_2021,обезоружный,1
Russian,1sg,2014_2021,обернуться,1
Russian,1sg,2014_2021,обжигать,1
Russian,1sg,2014_2021,обижать,1
Russian,1sg,2014_2021,обнять,1
Russian,1sg,2014_2021,оболтать,1
Russian,1sg,2014_2021,обрать,1
Russian,1sg,2014_2021,обругать,1
Russian,1sg,2014_2021,объяснять,1
Russian,1sg,2014_2021,обязанный,1
Russian,1sg,2014_2021,оддавать,1
Russian,1sg,2014_2021,околдовать,1
Russian,1sg,2014_2021,они,1
Russian,1sg,2014_2021,опасаться,1
Russian,1sg,2014_2021,осознать,1
Russian,1sg,2014_2021,оставлять,1
Russian,1sg,2014_2021,остаться,1
Russian,1sg,2014_2021,отдавать,1
Russian,1sg,2014_2021,отделить,1
Russian,1sg,2014_2021,отказать,1
Russian,1sg,2014_2021,открывать,1
Russian,1sg,2014_2021,отлегаться,1
Russian,1sg,2014_2021,отправляться,1
Russian,1sg,2014_2021,отражать,1
Russian,1sg,2014_2021,отрубить,1
Russian,1sg,2014_2021,ошибаться,1
Russian,1sg,2014_2021,ощутить,1
Russian,1sg,2014_2021,пеленать,1
Russian,1sg,2014_2021,переводить,1
