poem_id,author_id,1sg,1pl,2sg,2pl_vy_polite_singular,2pl_vy_true_plural,2pl,n_total,exposure_n_stanzas,exposure_n_stanza_index_max,exposure_n_tokens,exposure_n_finite_verbs,exposure_n_finite_verbs_excl_imperative,min_stanzas,min_tokens,include_in_offset_models,include_in_fv_offset_models,include_in_fv_excl_imp_offset_models,language_clean,year_int,period3
UP2744_2,A25,1,0,0,0,0,0,1,1,1.0,24,3,3,1,24,True,True,True,Ukrainian,2016.0,P1_2014_2021
UP2752_2,A25,2,0,0,0,0,0,2,1,1.0,20,3,3,1,20,True,True,True,Ukrainian,2016.0,P1_2014_2021
UP2751_1,A25,0,3,3,0,0,0,6,1,1.0,32,5,2,1,32,True,True,True,Ukrainian,2016.0,P1_2014_2021
UP276_1,A25,1,0,0,0,1,1,2,1,1.0,24,1,1,1,24,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP2748_2,A25,0,2,0,0,0,0,2,1,1.0,63,4,4,1,63,True,True,True,Ukrainian,2016.0,P1_2014_2021
UP282_1,A25,1,0,3,0,1,1,5,1,1.0,16,4,0,1,16,True,True,False,Ukrainian,2014.0,P1_2014_2021
UP280_1,A25,0,1,1,0,0,0,2,1,1.0,18,3,3,1,18,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP287_1,A25,0,1,0,0,0,0,1,1,1.0,18,1,1,1,18,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP289_2,A25,0,0,2,0,0,0,2,1,1.0,23,2,2,1,23,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP284_1,A16,1,1,0,0,0,0,2,1,1.0,39,7,6,1,39,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP286_1,A25,2,0,3,0,0,0,5,1,1.0,27,4,4,1,27,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP291_1,A28,5,0,3,0,0,0,8,1,1.0,88,14,13,1,88,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP298_2,A25,0,0,2,0,0,0,2,1,1.0,21,4,4,1,21,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP2746_1,A25,5,3,5,0,1,1,14,1,1.0,166,18,16,1,166,True,True,True,Ukrainian,2016.0,P1_2014_2021
UP30_1,A02,4,0,1,0,0,0,5,1,1.0,39,4,3,1,39,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP303_1,A22,0,0,1,0,0,0,1,1,1.0,16,1,1,1,16,True,True,True,Russian,2014.0,P1_2014_2021
UP293_1,A16,3,3,0,0,0,0,6,1,1.0,138,20,20,1,138,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP29_1,A28,9,0,2,0,0,0,11,1,1.0,106,21,19,1,106,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP303_2,A22,0,3,3,0,1,1,7,1,1.0,43,3,2,1,43,True,True,True,Russian,2014.0,P1_2014_2021
UP306_1,A28,0,2,0,0,0,0,2,1,1.0,60,3,3,1,60,True,True,True,Ukrainian,2014.0,P1_2014_2021
